genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Kcnmb1,17,2,12,0,7,7,22,0,4,10
X4930469K13Rik,3,0,0,0,0,2,0,0,0,0
Lcp2,53,95,80,65,117,117,156,63,72,102
Gm12121,0,0,0,0,0,0,0,0,0,0
Foxi1,0,0,0,0,0,0,0,0,0,0
Dock2,36,125,107,90,143,139,170,51,75,97
X4930403D09Rik,0,0,0,0,0,0,0,0,0,1
Insyn2b,0,4,0,0,0,15,1,0,3,0
Spdl1,0,0,0,0,0,0,0,0,4,0
Gm12711,0,0,0,0,0,0,0,0,0,0
Slit3,0,2,0,0,0,0,0,0,0,0
Gm12122,0,0,0,0,0,0,0,0,0,0
Pank3,78,155,187,93,114,25,25,34,29,72
Fbll1,0,0,0,0,0,0,0,0,0,0
Rars,45,23,12,40,49,20,65,41,20,41
Wwc1,1,30,21,6,32,11,4,10,2,33
Tenm2,0,1,0,0,10,0,0,1,0,1
Gm12126,0,0,0,0,0,0,0,0,0,0
Gm12127,0,0,0,0,0,0,0,0,0,0
Gm12128,0,0,0,0,0,0,0,0,0,0
Gm12130,0,0,0,0,0,0,0,0,0,0
Gm12132,0,0,0,0,0,0,0,0,0,0
X3110004A20Rik,0,0,0,0,0,0,0,0,0,0
Mat2b,240,176,265,238,160,43,77,95,101,172
Hmmr,0,0,0,7,0,4,0,0,0,0
Nudcd2,23,68,31,7,55,25,22,28,35,70
Ccng1,101,159,259,175,224,21,60,104,138,144
Platr13,0,0,0,0,0,0,0,0,0,0
A230004M16Rik,0,0,0,0,0,0,0,0,0,0
Gabrg2,0,0,8,0,0,0,17,0,0,0
Gabra1,4,2,0,5,0,0,9,1,0,0
Gabra6,0,0,0,0,0,0,0,0,0,0
Gabrb2,7,0,0,0,0,0,0,0,0,7
Gm12145,0,0,0,0,0,0,0,0,0,0
Atp10b,47,40,77,45,48,0,1,15,17,8
Gm12146,0,0,0,0,0,0,0,0,0,0
Gm12144,0,0,0,0,0,0,0,0,0,0
Gm12147,0,0,0,0,0,0,0,0,0,0
Gm12148,0,0,0,0,0,0,0,0,0,0
